Timestamp,Severity,Prefix,AS Path,Peer ASN,Reasons,Critical Prefix,UK Telecom
2025-04-01T17:27:54.730000,LOW,193.41.43.0/24,"24482,8220,15608,15608,15608,15608",24482,Excessive AS path prepending detected,No,No
2025-04-01T17:27:54.730000,LOW,193.41.43.0/24,"24482,8220,15608,15608,15608,15608",24482,Excessive AS path prepending detected,No,No
2025-04-01T17:27:54.730000,LOW,193.41.43.0/24,"1299,8220,15608,15608,15608,15608",1299,Excessive AS path prepending detected,No,No
2025-04-01T17:27:55.730000,LOW,193.41.43.0/24,"24482,8220,15608,15608,15608,15608",24482,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.740000,LOW,193.41.43.0/24,"6908,8220,15608,15608,15608,15608,15608,15608",6908,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.740000,LOW,193.41.43.0/24,"6908,8220,15608,15608,15608,15608,15608,15608",6908,Excessive AS path prepending detected,No,No
2025-04-01T17:27:55.780000,LOW,193.41.43.0/24,"6424,8220,15608,15608,15608,15608",6424,Excessive AS path prepending detected,No,No
2025-04-01T17:27:55.780000,LOW,193.41.43.0/24,"6424,8220,15608,15608,15608,15608",6424,Excessive AS path prepending detected,No,No
2025-04-01T17:27:55.780000,LOW,193.41.43.0/24,"6424,8220,15608,15608,15608,15608",6424,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.780000,LOW,193.41.43.0/24,"6424,8220,15608,15608,15608,15608,15608,15608",6424,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.710000,MEDIUM,193.41.43.0/24,"3170,3356,8220,15608,15608,15608,15608",3170,Excessive AS path prepending detected;Potential route leak: non-tier1 AS3170 announces to tier1 AS3356,No,No
2025-04-01T17:27:56.710000,MEDIUM,193.41.43.0/24,"3170,3356,8220,15608,15608,15608,15608",3170,Excessive AS path prepending detected;Potential route leak: non-tier1 AS3170 announces to tier1 AS3356,No,No
2025-04-01T17:27:56.710000,MEDIUM,193.41.43.0/24,"3170,3356,8220,15608,15608,15608,15608",3170,Excessive AS path prepending detected;Potential route leak: non-tier1 AS3170 announces to tier1 AS3356,No,No
